red,gray,blue,hue,saturation,value,rata-rata,st deviasi,varians,skewness,kurtsosis,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135,label
36.71738612,16.43517391,13.82911369,3.514503388,176.8822868,39.66762419,95.18360371,87.45349306,7648.113449,-0.312698604,0.39951426,8.782218491,9.073652273,9.522766079,10.22865916,0.979474311,0.97890723,0.97666675,0.973485312,0.201965248,0.19772099,0.18483921,0.170346018,313.0880825,321.3608742,356.1908921,404.012334,0.000670613,0.000618194,0.000629358,0.000549382,0.025896193,0.024863511,0.025087016,0.0234389,0
24.95310063,9.282062543,8.492102673,3.830987241,168.0000672,43.14877855,79.81686038,83.10118969,6905.807728,-0.493403334,3.048736247,10.87993402,11.00995742,10.63166757,11.99633567,0.968948995,0.969470324,0.970981354,0.961994907,0.164459519,0.159506187,0.164861365,0.153122419,425.4261188,417.4090652,399.0403454,519.6128121,0.000655338,0.000597311,0.000664918,0.000591845,0.025599563,0.024439951,0.025786009,0.024327854,0
22.79090315,10.9581436,12.10331525,167.5694261,134.1941899,26.68620549,51.65050951,66.81194406,4463.835869,-1.566656749,2.22061771,12.54183658,12.95260399,11.71280345,12.67654536,0.946831956,0.942460003,0.951215874,0.944904996,0.145801597,0.142478344,0.15959387,0.146767013,466.589371,502.7916845,431.4228949,481.3916114,0.000766863,0.000727172,0.00087553,0.000754217,0.027692289,0.026966133,0.029589362,0.027463015,0
29.36709884,12.01684449,11.40439427,3.464821404,166.8166114,44.48296743,62.64296689,71.71216749,5142.634966,-1.497314602,3.85057932,11.72811422,12.35705782,11.55136397,12.429676,0.956574705,0.953045435,0.957252902,0.94937622,0.15547211,0.145170091,0.158583756,0.148723858,439.7026519,473.5091933,435.870209,510.5100593,0.000616663,0.000543881,0.000611751,0.00056986,0.024832707,0.023321254,0.0247336,0.023871733,0
26.42572162,10.7513123,10.33135657,3.459009184,162.0017254,44.33839875,46.53765006,58.47793375,3419.668735,-0.806296344,1.807380767,11.56094123,12.04678011,11.15342633,12.19500168,0.941127223,0.936957506,0.94319303,0.932398506,0.151903709,0.148975241,0.164480597,0.147013555,392.2639365,417.9924426,383.7277,448.216238,0.000675957,0.000631627,0.000723687,0.000639923,0.025999168,0.025132198,0.026901427,0.025296702,0
28.08428507,11.76900608,10.7644589,3.868327581,164.6199116,44.68024411,69.92403553,76.84098322,5904.536702,-1.934851426,2.663492935,11.82113007,12.24050665,11.00041076,11.91590597,0.962125454,0.959344524,0.965892855,0.960749563,0.149965056,0.144746607,0.160977127,0.148631676,442.100349,472.3325439,399.3486568,455.9994663,0.000547405,0.000511545,0.000585196,0.000500597,0.023396692,0.022617353,0.024190816,0.022374026,0
25.98569231,10.77002911,10.05241954,3.599094463,163.8266978,42.33628502,67.18018744,75.40092433,5685.29939,-0.740268756,4.32140624,11.22659866,11.9084859,10.64375413,11.45447976,0.965071975,0.959644717,0.966435304,0.962418091,0.156073575,0.150857467,0.172477296,0.156784356,392.3549462,452.042628,379.2236833,420.9761054,0.000596091,0.000557859,0.000669726,0.000583656,0.024414976,0.02361903,0.025879057,0.02415897,0
24.93902314,10.92097376,10.36842161,3.609770009,156.6843468,40.66702339,39.20290966,53.17255215,2827.320302,-1.082431339,2.211536153,10.76770718,11.07939459,10.16990193,10.99792018,0.938108924,0.935056201,0.944352281,0.935760447,0.15664067,0.151575054,0.16705431,0.152776288,339.6744631,356.6946366,312.6353586,352.8160863,0.000818362,0.000769573,0.000874581,0.00077831,0.028607034,0.027741177,0.029573312,0.027898202,0
26.41113249,10.45494638,10.1732029,3.487308774,164.6150442,45.0849588,63.74023811,75.89656152,5760.28805,-1.43897434,3.369106659,11.35370148,12.06270757,10.95776823,11.64588693,0.96550558,0.960161177,0.965861054,0.963429198,0.156300214,0.149177923,0.165053422,0.152226805,392.6757377,452.1786852,390.7381868,415.0852162,0.000718862,0.000672337,0.000779885,0.000667826,0.026811607,0.025929468,0.027926424,0.025842337,0
24.45418329,10.27771064,9.437717414,3.757850039,160.2158358,41.33228729,52.38867925,67.10193158,4502.669221,-1.182957855,3.164089271,11.31070624,11.80429053,11.01069901,11.90605838,0.954504728,0.950602025,0.954669695,0.948081198,0.167869317,0.16078742,0.175937001,0.160936872,401.439939,434.3428534,404.4745791,456.5016348,0.001092643,0.001018978,0.001152292,0.000992206,0.033055155,0.031921431,0.033945421,0.031499294,0
