red,gray,hue,saturation,homogeneity_135,contrast_90,ASM_135,energy_0,energy_90,energy_135,label
36.0564122,16.80774371,3.720196161,175.9664435,0.162236039,345.5375772,0.000595328,0.025660401,0.024877571,0.024399352,0
25.29084637,10.36068844,4.253764179,170.6673566,0.166011635,415.493807,0.000691757,0.027718076,0.026729589,0.026301275,0
36.71738612,16.43517391,3.514503388,176.8822868,0.170346018,356.1908921,0.000549382,0.025896193,0.025087016,0.0234389,0
24.95310063,9.282062543,3.830987241,168.0000672,0.153122419,399.0403454,0.000591845,0.025599563,0.025786009,0.024327854,0
22.79090315,10.9581436,167.5694261,134.1941899,0.146767013,431.4228949,0.000754217,0.027692289,0.029589362,0.027463015,0
29.36709884,12.01684449,3.464821404,166.8166114,0.148723858,435.870209,0.00056986,0.024832707,0.0247336,0.023871733,0
26.42572162,10.7513123,3.459009184,162.0017254,0.147013555,383.7277,0.000639923,0.025999168,0.026901427,0.025296702,0
28.08428507,11.76900608,3.868327581,164.6199116,0.148631676,399.3486568,0.000500597,0.023396692,0.024190816,0.022374026,0
25.98569231,10.77002911,3.599094463,163.8266978,0.156784356,379.2236833,0.000583656,0.024414976,0.025879057,0.02415897,0
24.93902314,10.92097376,3.609770009,156.6843468,0.152776288,312.6353586,0.00077831,0.028607034,0.029573312,0.027898202,0
26.41113249,10.45494638,3.487308774,164.6150442,0.152226805,390.7381868,0.000667826,0.026811607,0.027926424,0.025842337,0
24.45418329,10.27771064,3.757850039,160.2158358,0.160936872,404.4745791,0.000992206,0.033055155,0.033945421,0.031499294,0
25.57089009,11.33696148,3.94572226,155.4548025,0.15121692,394.4332222,0.000845978,0.030232016,0.031847199,0.029085703,0
26.47103076,11.01313541,3.850468535,159.3588262,0.149440056,400.9686393,0.000614941,0.02567235,0.026557342,0.024798012,0
26.72729986,11.13518443,3.972212059,160.5434842,0.151831856,362.0712966,0.000671603,0.026533949,0.027470899,0.025915295,0
23.21973446,10.87790601,166.6417346,137.0550983,0.149746209,383.5260665,0.000605832,0.025830121,0.026398226,0.024613659,0
26.11328081,10.6552499,3.63355503,160.6235495,0.145525523,381.4173435,0.00061961,0.025986398,0.026715951,0.024891966,0
26.26812291,10.59785745,4.003458219,167.5792118,0.148437814,332.9540281,0.000761245,0.029150013,0.030337909,0.027590665,0
26.59243631,10.23453319,3.537492328,167.1348099,0.162158952,420.7901097,0.000643071,0.025624618,0.026354001,0.025358853,0
26.242218,11.35742817,3.862600905,164.6732468,0.146592085,344.1421265,0.000716064,0.027712681,0.028101018,0.026759367,0
29.37482192,11.64046346,3.998698781,167.7493703,0.143967009,426.4406483,0.000524335,0.024188044,0.02450008,0.022898363,0
25.97083857,10.43903713,4.292519063,171.2644793,0.152480238,354.2468745,0.000704183,0.027710805,0.028308755,0.026536438,0
25.83300613,10.51124995,3.543185389,163.1744231,0.156745311,402.77518,0.000692369,0.027488788,0.027811355,0.026312898,0
26.38190272,10.89964627,3.711254587,161.910901,0.149269577,350.6210967,0.000659765,0.027262684,0.027114986,0.025685887,0
26.17175594,11.05459562,3.747611015,157.5978276,0.14802109,377.976728,0.000720142,0.027817346,0.028871463,0.02683546,0
25.41784105,10.28607916,3.886866615,162.4818679,0.15012123,345.7795484,0.000738522,0.028588318,0.029509254,0.027175764,0
23.08876778,9.625566196,168.4320841,148.5090944,0.146622113,413.3647939,0.000719069,0.028178519,0.029169519,0.026815458,0
25.94556277,10.64533018,3.83494727,164.5312613,0.161463228,327.6552985,0.000621071,0.02589185,0.026901051,0.024921287,0
28.12644594,10.93413069,4.225182165,172.5040186,0.14894684,413.8012125,0.000619849,0.025681329,0.026631547,0.02489677,0
26.39685921,10.32017909,3.84381775,172.2120654,0.156090729,384.5413615,0.000777494,0.028449553,0.030383132,0.027883582,0
27.27583243,11.11174847,3.532356965,164.5113053,0.156077233,426.0055346,0.000625377,0.025878529,0.026353038,0.025007536,0
25.78805884,10.33898316,3.703045457,165.5434567,0.145680799,325.3795847,0.00060306,0.025162208,0.026452663,0.024557279,0
26.13143177,10.8541503,3.912099778,163.0195596,0.151520741,385.3859403,0.000595962,0.025403567,0.026431564,0.024412332,0
28.14657518,11.82815641,3.87496103,166.3388234,0.159877141,351.4914903,0.00058949,0.02519658,0.025387713,0.024279418,0
26.36634271,10.26797886,3.595906188,165.4909397,0.148246967,435.9011367,0.000644919,0.026964242,0.026761725,0.025395262,0
26.71302799,11.00909005,3.655276451,163.1163002,0.153929938,417.9296815,0.000599974,0.025516653,0.026637279,0.024494369,0
27.86509511,11.57801603,3.497808168,165.9939779,0.15135061,454.8610979,0.000603189,0.02521446,0.026127747,0.024559907,0
24.66752715,9.925789841,170.267655,153.8520655,0.144291748,380.3688543,0.000606058,0.02600733,0.026601277,0.024618248,0
25.54748865,10.47359968,3.829395072,165.2348489,0.159027741,389.1133375,0.000720633,0.027883893,0.029639768,0.026844606,0
26.76032164,11.51597649,4.035977265,158.9772769,0.151250624,423.7659371,0.000601128,0.025688225,0.025955205,0.024517915,0
26.00708223,10.52626519,3.847303339,163.8993374,0.150750387,438.627495,0.000659576,0.027280116,0.026928729,0.025682211,0
25.7887624,9.812203093,3.843263529,178.6765786,0.160977354,381.2192312,0.00075969,0.028091205,0.029097033,0.027562472,0
27.21525047,11.19752754,3.515529727,163.5001072,0.153744694,369.3528013,0.000738915,0.028789153,0.028365345,0.027182986,0
26.57674219,10.96586418,3.964780861,165.0820607,0.150647494,416.4296076,0.000685084,0.027628459,0.027579873,0.026174115,0
25.94501044,10.52298044,3.961160629,169.6613773,0.158843248,376.2052958,0.000674528,0.026648161,0.027878198,0.025971676,0
26.87598321,10.55168351,3.524074665,165.2716844,0.148961501,349.1912072,0.000673969,0.026757641,0.028223108,0.025960905,0
26.77800572,10.88713557,4.247238789,167.4952362,0.147809005,395.6577985,0.000612764,0.026554422,0.026930476,0.024754078,0
26.45029907,10.75984576,3.930323376,165.6851068,0.153916288,425.3815508,0.000611742,0.025982826,0.026626006,0.02473342,0
24.65348689,10.95103673,169.7102547,145.8891151,0.146000344,430.8530837,0.000710523,0.027330698,0.028264202,0.026655634,0
27.09331236,10.66593178,3.801324418,165.8598613,0.153705433,387.8335858,0.000615133,0.025748911,0.02681337,0.024801882,0
27.62718129,11.12567632,4.384716658,170.4532161,0.144733256,372.6138021,0.000561228,0.024511584,0.02611237,0.02369025,0
28.13893369,12.02442728,4.014407415,159.5564335,0.146835144,421.5978793,0.000542055,0.024426426,0.025425472,0.023282075,0
26.89631454,10.96418956,4.56194613,170.559222,0.152548428,380.1323118,0.000668216,0.027620425,0.027583077,0.02584988,0
29.21310283,11.90623393,4.766719783,171.7206547,0.140970467,378.841788,0.0005699,0.024803624,0.0252242,0.023872573,0
26.72947095,10.601108,3.946408394,165.8490116,0.148188428,465.9697682,0.000727559,0.027825723,0.028738427,0.026973293,0
27.14353262,10.82820298,3.938500531,164.9073865,0.158190264,459.1529608,0.000705705,0.02772487,0.028161625,0.0265651,0
26.12855829,11.35715778,4.213750605,160.1170352,0.15554068,371.3609033,0.000764964,0.029151948,0.029422928,0.027657987,0
27.36026613,11.20127461,3.721190527,163.3592983,0.155253873,392.6826595,0.000629718,0.026282031,0.026946596,0.025094181,0
27.95920997,11.09157395,3.631323835,165.3806073,0.151127378,426.4393941,0.000598274,0.025645454,0.02586302,0.024459649,0
23.32151168,10.79581514,167.3523959,141.5590334,0.145465077,459.3554458,0.000906713,0.031345222,0.032461183,0.030111674,0
28.29384507,11.59134286,3.84246944,162.5995297,0.146193338,403.252258,0.000549492,0.025085731,0.025016997,0.023441245,0
24.93700684,9.790424343,4.104226412,170.1355406,0.155633948,301.1594683,0.000713906,0.027540058,0.028768861,0.026719029,0
27.49259827,11.47270848,3.929284204,164.2395659,0.151615846,421.598743,0.000610909,0.025007028,0.025608441,0.024716567,0
27.08150639,10.61044755,3.494728032,167.2089358,0.161476693,413.4590284,0.000583459,0.024460421,0.025282207,0.024154903,0
27.86686636,11.53938937,3.986489078,165.7025928,0.151691128,423.6938008,0.000601013,0.025120959,0.02660112,0.024515568,0
24.73739119,9.653933733,4.148936482,172.8279096,0.155697776,323.824962,0.000758142,0.028673234,0.030224425,0.02753438,0
